label,type,type_corrected,type_corrected_2,packet loss,node,count,std,mean,var,hop,outliers
grid_normal_2019-02-26_10:53_,normal,normal,normal,11,aaaa::212:7406:6:606,89,348.924725,621.3033708,121748.4637,3,5
grid_normal_2019-02-26_11:10_,normal,normal,normal,11,aaaa::212:7402:2:202,89,260.1215954,310.7752809,67663.24438,2,3
grid_1bh-7_2019-02-19_22:13_,normal,normal,normal,12,aaaa::212:7402:2:202,88,160.0573535,187.4215909,25618.35643,2,4
grid_1bh-9_2019-02-20_00:30_,BH,normal,normal,12,aaaa::212:7402:2:202,88,93.42733082,171.7727273,8728.666144,2,4
grid_1gh30-9_2019-02-20_00:12_,BH,normal,normal,12,aaaa::212:7406:6:606,88,82.53669508,224.625,6812.306034,3,5
grid_1bh-9_2019-02-20_00:30_,BH,normal,normal,13,aaaa::212:740c:c:c0c,87,155.8397229,325.6551724,24286.01925,3,4
grid_normal_2019-02-26_11:10_,normal,normal,normal,13,aaaa::212:7406:6:606,87,317.5891025,596.1034483,100862.838,3,4
grid_normal_2019-02-26_11:10_,normal,normal,normal,13,aaaa::212:7403:3:303,87,119.0138971,183.8793103,14164.30771,1,4
grid_normal_2019-02-26_11:10_,normal,normal,normal,13,aaaa::212:740e:e:e0e,87,197.3916663,625.1724138,38963.46993,5,4
grid_normal_2019-02-26_11:10_,normal,normal,normal,13,aaaa::212:740a:a:a0a,87,278.40635,509.2988506,77510.0957,4,5
grid_1bh-9_2019-02-20_00:30_,BH,normal,normal,15,aaaa::212:7404:4:404,85,46.26066597,104.9352941,2140.049216,1,4
grid_1gh70-7_2019-02-19_23:11_,BH,normal,normal,15,aaaa::212:7405:5:505,85,170.1480567,246.4894118,28950.3612,2,4
grid_1gh30-7_2019-02-19_22:35_,BH,normal,normal,16,aaaa::212:7402:2:202,84,453.2315452,429.2916667,205418.8335,2,5
grid_1gh50-9_2019-02-19_23:54_,BH,normal,normal,16,aaaa::212:740a:a:a0a,84,309.0531512,344.0714286,95513.85026,4,3
grid_normal_2019-02-26_11:10_,normal,normal,normal,16,aaaa::212:740f:f:f0f,84,263.1093032,625.3095238,69226.50545,4,3
grid_1bh-9_2019-02-20_00:30_,BH,normal,normal,17,aaaa::212:7408:8:808,83,181.5980212,274.0120482,32977.84132,2,4
grid_1gh30-9_2019-02-20_00:12_,BH,normal,normal,17,aaaa::212:740b:b:b0b,83,92.47096263,219.4096386,8550.87893,3,4
grid_1gh70-7_2019-02-19_23:11_,BH,normal,normal,17,aaaa::212:7411:11:1111,83,298.3977736,562.8433735,89041.23127,5,5
grid_1gh70-7_2019-02-19_23:11_,BH,normal,normal,17,aaaa::212:7406:6:606,83,175.393014,289.2650602,30762.70937,3,4
grid_normal_2019-02-26_10:53_,normal,normal,normal,17,aaaa::212:7405:5:505,83,339.6584264,444.373494,115367.8466,2,3
grid_1gh50-9_2019-02-19_23:54_,BH,normal,normal,18,aaaa::212:7402:2:202,82,163.1196841,195.004878,26608.03133,2,4
grid_1gh70-7_2019-02-19_23:11_,BH,normal,normal,18,aaaa::212:7408:8:808,82,231.347637,315.5731707,53521.72915,2,5
grid_1bh-7_2019-02-19_22:13_,normal,normal,normal,19,aaaa::212:7403:3:303,81,103.9417661,139.8555556,10803.89075,1,3
grid_1gh50-7_2019-02-19_22:53_,BH,normal,normal,19,aaaa::212:7408:8:808,81,724.2307835,455.5185185,524510.2278,2,3
grid_1gh50-9_2019-02-19_23:54_,BH,normal,normal,19,aaaa::212:7405:5:505,81,207.2387855,257.382716,42947.9142,2,5
grid_normal_2019-02-26_11:10_,normal,normal,normal,19,aaaa::212:7408:8:808,81,304.0918345,407.8641975,92471.84383,2,5
grid_1bh-7_2019-02-19_22:13_,normal,normal,normal,20,aaaa::212:7409:9:909,80,219.0388379,406.9875,47978.0125,3,3
grid_normal_2019-02-26_10:53_,normal,normal,normal,20,aaaa::212:7408:8:808,80,214.4257916,385.3125,45978.42009,2,4
grid_normal_2019-02-26_11:10_,normal,normal,normal,20,aaaa::212:7407:7:707,80,176.0802603,299.0875,31004.25807,2,6
grid_1gh30-9_2019-02-20_00:12_,BH,normal,normal,21,aaaa::212:7410:10:1010,79,89.23074181,335.6582278,7962.125284,4,4
grid_1gh30-9_2019-02-20_00:12_,BH,normal,normal,22,aaaa::212:7408:8:808,78,163.9167688,210.0871795,26868.70711,2,3
grid_1gh30-9_2019-02-20_00:12_,BH,normal,normal,22,aaaa::212:7407:7:707,78,57.43774351,155.9871795,3299.094379,2,2
grid_1gh50-7_2019-02-19_22:53_,BH,normal,normal,22,aaaa::212:7405:5:505,78,453.518906,414.6448718,205679.3981,2,3
grid_1gh50-9_2019-02-19_23:54_,BH,normal,normal,22,aaaa::212:7410:10:1010,78,201.0377394,491.7820513,40416.17266,4,4
grid_1gh70-7_2019-02-19_23:11_,BH,normal,normal,23,aaaa::212:7402:2:202,77,128.7694777,239.3285714,16581.57838,2,4
grid_normal_2019-02-26_10:53_,normal,normal,normal,23,aaaa::212:740a:a:a0a,77,336.0548664,789.0909091,112932.8732,4,3
grid_1bh-7_2019-02-19_22:13_,normal,normal,normal,24,aaaa::212:7411:11:1111,76,237.5649392,502.4210526,56437.10035,5,3
grid_1bh-9_2019-02-20_00:30_,BH,normal,normal,24,aaaa::212:7409:9:909,76,176.8850846,322.9868421,31288.33316,3,6
