,label,type,count,std,mean,var,hop,packet loss,outliers,node,window,predicted,predicted number,correction number
120,grid_normal_2019-02-26_11:10_,normal,12,219.29658552800686,370.0833333333333,48090.99242424243,2,52.0,0,aaaa::212:7407:7:707,25,BH,0,1
121,grid_normal_2019-02-26_11:10_,normal,22,177.44380245673005,275.27272727272725,31486.303030303035,2,12.0,1,aaaa::212:7407:7:707,25,normal,1,1
122,grid_normal_2019-02-26_11:10_,normal,24,162.97105082129494,333.4583333333333,26559.563405797096,2,4.0,2,aaaa::212:7407:7:707,25,normal,1,1
123,grid_normal_2019-02-26_11:10_,normal,22,152.2089373396339,246.6818181818182,23167.5606060606,2,12.0,1,aaaa::212:7407:7:707,25,normal,1,1
124,grid_normal_2019-02-26_11:10_,normal,13,216.64117207007868,667.3076923076923,46933.39743589744,4,48.0,1,aaaa::212:740d:d:d0d,25,BH,0,1
125,grid_normal_2019-02-26_11:10_,normal,18,310.07808419921196,536.2222222222222,96148.41830065359,4,28.000000000000004,1,aaaa::212:740d:d:d0d,25,normal,1,1
126,grid_normal_2019-02-26_11:10_,normal,19,294.1360726598594,688.1578947368421,86516.02923976608,4,24.0,1,aaaa::212:740d:d:d0d,25,normal,1,1
127,grid_normal_2019-02-26_11:10_,normal,21,334.8391582607415,814.8095238095239,112117.2619047619,4,16.0,1,aaaa::212:740d:d:d0d,25,normal,1,1
128,grid_normal_2019-02-19_21:23_,normal,6,115.33595131903436,129.68333333333334,13302.381666666664,1,76.0,0,aaaa::212:7403:3:303,25,BH,0,1
129,grid_normal_2019-02-19_21:23_,normal,15,259.3949461636408,236.46666666666667,67285.73809523809,1,40.0,1,aaaa::212:7403:3:303,25,normal,1,1
130,grid_normal_2019-02-19_21:23_,normal,17,91.97051117869569,134.83529411764704,8458.574926470588,1,32.0,2,aaaa::212:7403:3:303,25,normal,1,1
131,grid_normal_2019-02-19_21:23_,normal,17,140.48906750432678,142.2058823529412,19737.17808823529,1,32.0,2,aaaa::212:7403:3:303,25,normal,1,1
132,grid_normal_2019-02-19_21:23_,normal,2,400.2224381515859,868.0,160178.0,4,92.0,0,aaaa::212:740f:f:f0f,25,BH,0,1
133,grid_normal_2019-02-19_21:23_,normal,9,1286.0750150922163,1427.2222222222222,1653988.9444444445,4,64.0,1,aaaa::212:740f:f:f0f,25,BH,0,1
134,grid_normal_2019-02-19_21:23_,normal,14,633.9400429236018,806.1428571428571,401879.97802197805,4,44.0,1,aaaa::212:740f:f:f0f,25,BH,0,1
135,grid_normal_2019-02-19_21:23_,normal,16,753.9987814976892,803.1875,568514.1625,4,36.0,1,aaaa::212:740f:f:f0f,25,normal,1,1
136,grid_normal_2019-02-19_21:23_,normal,8,289.16814189276505,925.25,83618.21428571429,5,68.0,0,aaaa::212:740e:e:e0e,25,BH,0,1
137,grid_normal_2019-02-19_21:23_,normal,13,270.1959640230752,657.7692307692307,73005.85897435895,5,48.0,0,aaaa::212:740e:e:e0e,25,BH,0,1
138,grid_normal_2019-02-19_21:23_,normal,19,560.8331678006065,798.7894736842105,314533.8421052632,5,24.0,2,aaaa::212:740e:e:e0e,25,normal,1,1
139,grid_normal_2019-02-19_21:23_,normal,9,381.5584635558634,800.8888888888889,145586.86111111112,5,64.0,1,aaaa::212:740e:e:e0e,25,BH,0,1
140,grid_normal_2019-02-19_21:23_,normal,3,105.09678079433895,410.6666666666667,11045.333333333334,4,88.0,0,aaaa::212:7410:10:1010,25,BH,0,1
141,grid_normal_2019-02-19_21:23_,normal,12,555.7885198417459,834.1666666666666,308900.87878787884,4,52.0,1,aaaa::212:7410:10:1010,25,BH,0,1
142,grid_normal_2019-02-19_21:23_,normal,20,428.8803783660059,711.2,183938.37894736842,4,20.0,1,aaaa::212:7410:10:1010,25,normal,1,1
143,grid_normal_2019-02-19_21:23_,normal,10,529.3648605220747,863.6,280227.1555555556,4,60.0,1,aaaa::212:7410:10:1010,25,BH,0,1
144,grid_normal_2019-02-19_21:23_,normal,18,194.01633918121703,443.1111111111111,37642.33986928105,3,28.000000000000004,1,aaaa::212:7406:6:606,25,normal,1,1
145,grid_normal_2019-02-19_21:23_,normal,12,144.82047402549716,388.6666666666667,20972.969696969696,3,52.0,0,aaaa::212:7406:6:606,25,BH,0,1
146,grid_normal_2019-02-19_21:23_,normal,4,191.71571836098016,808.25,36754.916666666664,3,84.0,0,aaaa::212:7406:6:606,25,BH,0,1
147,grid_normal_2019-02-19_21:23_,normal,13,471.37659831168685,667.3076923076923,222195.89743589738,3,48.0,1,aaaa::212:7406:6:606,25,BH,0,1
148,grid_normal_2019-02-19_21:23_,normal,18,443.6406866187201,644.6666666666666,196817.05882352943,4,28.000000000000004,1,aaaa::212:740d:d:d0d,25,normal,1,1
149,grid_normal_2019-02-19_21:23_,normal,9,760.9490419498828,1240.7777777777778,579043.4444444445,4,64.0,0,aaaa::212:740d:d:d0d,25,BH,0,1
150,grid_normal_2019-02-19_21:23_,normal,5,97.102008218162,524.4,9428.8,4,80.0,0,aaaa::212:740d:d:d0d,25,BH,0,1
151,grid_normal_2019-02-19_21:23_,normal,6,277.08314035081,696.6666666666666,76775.06666666668,4,76.0,0,aaaa::212:740d:d:d0d,25,BH,0,1
152,grid_normal_2019-02-19_21:23_,normal,21,499.6983661598837,816.5714285714286,249698.4571428572,5,16.0,1,aaaa::212:740c:c:c0c,25,normal,1,1
153,grid_normal_2019-02-19_21:23_,normal,18,283.9524090199541,485.8333333333333,80628.97058823529,5,28.000000000000004,0,aaaa::212:740c:c:c0c,25,normal,1,1
154,grid_normal_2019-02-19_21:23_,normal,19,404.4076384190782,595.2631578947369,163545.5380116959,5,24.0,1,aaaa::212:740c:c:c0c,25,normal,1,1
155,grid_normal_2019-02-19_21:23_,normal,9,453.9579030898986,624.4444444444445,206077.77777777775,5,64.0,1,aaaa::212:740c:c:c0c,25,BH,0,1
156,grid_normal_2019-02-19_21:23_,normal,20,457.37952397037674,482.15,209196.0289473684,2,20.0,1,aaaa::212:7407:7:707,25,normal,1,1
157,grid_normal_2019-02-19_21:23_,normal,9,411.8274652219192,650.8888888888889,169601.8611111111,2,64.0,0,aaaa::212:7407:7:707,25,BH,0,1
158,grid_normal_2019-02-19_21:23_,normal,23,305.1835254231842,412.5652173913044,93136.98418972333,2,8.0,2,aaaa::212:7407:7:707,25,normal,1,1
159,grid_normal_2019-02-19_21:23_,normal,18,501.909090666943,499.1666666666667,251912.7352941176,2,28.000000000000004,1,aaaa::212:7407:7:707,25,normal,1,1
160,grid_normal_2019-02-19_21:23_,normal,4,808.6165139710336,598.0,653860.6666666666,2,84.0,0,aaaa::212:7408:8:808,25,BH,0,1
161,grid_normal_2019-02-19_21:23_,normal,2,113.84419177103415,382.5,12960.5,2,92.0,0,aaaa::212:7408:8:808,25,BH,0,1
162,grid_normal_2019-02-19_21:23_,normal,10,119.47589250090952,380.4,14274.488888888889,2,60.0,0,aaaa::212:7408:8:808,25,BH,0,1
163,grid_normal_2019-02-19_21:23_,normal,12,177.28653403886926,312.8333333333333,31430.515151515152,2,52.0,0,aaaa::212:7408:8:808,25,BH,0,1
164,grid_normal_2019-02-19_21:23_,normal,11,481.70900306758193,894.8181818181819,232043.56363636366,5,56.00000000000001,1,aaaa::212:7411:11:1111,25,BH,0,1
165,grid_normal_2019-02-19_21:23_,normal,12,723.7634124993659,1042.75,523833.4772727273,5,52.0,1,aaaa::212:7411:11:1111,25,BH,0,1
166,grid_normal_2019-02-19_21:23_,normal,16,773.3599851729249,776.25,598085.6666666666,5,36.0,1,aaaa::212:7411:11:1111,25,normal,1,1
167,grid_normal_2019-02-19_21:23_,normal,14,231.21139416388803,614.3571428571429,53458.708791208795,5,44.0,0,aaaa::212:7411:11:1111,25,BH,0,1
168,grid_normal_2019-02-19_21:23_,normal,8,246.50843943825882,541.125,60766.41071428572,3,68.0,1,aaaa::212:7409:9:909,25,BH,0,1
169,grid_normal_2019-02-19_21:23_,normal,19,439.5515391345542,746.0,193205.55555555556,3,24.0,0,aaaa::212:7409:9:909,25,normal,1,1
170,grid_normal_2019-02-19_21:23_,normal,13,314.4432605456255,545.6923076923077,98874.56410256412,3,48.0,1,aaaa::212:7409:9:909,25,BH,0,1
171,grid_normal_2019-02-19_21:23_,normal,16,497.7150289071046,680.625,247720.25,3,36.0,0,aaaa::212:7409:9:909,25,normal,1,1
172,grid_normal_2019-02-19_21:23_,normal,20,227.1824909858291,323.1,51611.88421052632,2,20.0,1,aaaa::212:7402:2:202,25,normal,1,1
173,grid_normal_2019-02-19_21:23_,normal,17,297.8850202580144,388.88235294117646,88735.48529411765,2,32.0,2,aaaa::212:7402:2:202,25,normal,1,1
